Country,January,February,March,April,May,June,July,August,September
Afghanistan,0,1,173,1997,13034,16312,5158,1490,1103
Albania,0,0,243,530,364,1398,2741,4237,4136
Algeria,0,1,715,3290,5388,4513,16487,14100,7036
Andorra,0,0,376,369,19,91,70,251,874
Angola,0,0,7,20,59,198,864,1506,2318
Antigua and Barbuda,0,0,7,17,2,43,22,3,7
Argentina,0,0,1054,3374,12423,47679,126772,226433,333266
Armenia,0,0,532,1534,7216,16260,13008,5231,6578
Australia,9,16,4543,2207,436,718,9360,8539,1277
Austria,,9,10171,5272,1279,1035,3364,6308,17375
Azerbaijan,0,0,298,1506,3690,12030,14354,4557,3794
Bahamas,0,0,14,67,21,2,470,1643,1906
Bahrain,0,41,526,2473,8358,15360,14224,10990,18892
Bangladesh,0,0,51,7616,39486,98330,92178,75335,50483
Barbados,0,0,34,47,11,5,13,64,16
Belarus,0,1,151,13875,28529,19562,5690,4035,6788
Belgium,0,1,12774,35744,9862,3046,7324,16485,33216
Belize,0,0,3,15,0,6,24,959,985
Benin,0,0,9,55,168,967,606,340,212
Bhutan,0,0,4,3,36,34,24,124,57
Bolivia,0,0,107,1060,8815,23237,43570,39809,18713
Bosnia and Herzegovina,0,0,420,1337,753,1943,7423,8088,7505
Botswana,0,0,4,19,12,192,577,829,1539
Brazil,0,2,5715,81470,427662,887192,1260444,1245787,902663
Brunei,0,0,129,9,3,0,0,3,2
Bulgaria,0,0,399,1107,1007,2476,6701,4576,4567
Burkina Faso,0,0,261,384,202,115,144,262,688
Burma,0,0,15,136,73,75,54,529,12491
Burundi,0,0,2,9,52,107,217,58,63
Cabo Verde,0,0,6,115,314,792,1224,1433,2140
Cambodia,1,0,109,13,3,16,98,35,3
Cameroon,0,0,193,1639,4072,6688,4663,1887,1696
Canada,4,16,8511,45930,38022,13618,12184,12637,30189
Central African Republic,0,0,3,47,961,2734,863,103,118
Chad,0,0,7,66,705,88,70,77,187
Chile,0,2,2842,14858,105848,155843,76274,56059,51265
China,9802,69554,12725,1677,190,639,2870,2259,631
Colombia,0,0,906,5601,22876,68463,197662,319586,214585
Comoros,0,0,0,1,105,197,75,45,56
Congo (Brazzaville),0,0,19,201,391,476,2113,779,1110
Congo (Kinshasa),0,0,98,474,2498,3969,2031,1027,562
Costa Rica,0,0,347,372,337,2403,14361,23467,34473
Cote d'Ivoire,0,0,179,1096,1558,6666,6548,2020,1657
Croatia,0,6,861,1209,170,531,2362,5130,6324
Cuba,0,0,186,1315,544,296,267,1424,1565
Cyprus,0,0,262,588,94,54,116,374,267
Czechia,0,0,3308,4374,1586,2686,4620,8044,46145
Denmark,0,0,169,18,0,0,38,186,56
Denmark,0,0,10,1,2,0,1,0,0
Denmark,0,3,2857,6298,2511,1099,1021,3196,11013
Diamond Princess,0,705,7,0,0,0,0,0,0
Djibouti,0,0,30,1059,2265,1328,402,303,29
Dominica,0,0,12,4,0,2,0,2,10
Dominican Republic,0,0,1109,5863,10313,15283,37081,25066,17494
Ecuador,0,0,2240,22694,14164,17334,28923,28412,23280
Egypt,0,1,709,4827,19448,43326,25767,4861,4259
El Salvador,0,0,32,363,2122,3921,10194,9097,3348
Equatorial Guinea,0,0,12,303,991,695,2820,120,89
Eritrea,0,0,15,24,0,164,76,40,56
Estonia,0,1,744,944,180,120,75,311,996
Eswatini,0,0,9,91,185,527,1836,1929,905
Ethiopia,0,0,26,105,1041,4674,11684,34601,23237
Fiji,0,0,5,13,0,0,9,1,4
Finland,1,2,1416,3577,1864,355,218,654,1906
France,5,95,52732,114472,21710,13054,23134,93789,285045
Gabon,0,0,16,260,2379,2739,1958,1181,233
Gambia,0,0,4,7,14,24,449,2465,616
Georgia,0,1,109,429,244,145,240,319,4705
Germany,5,74,71734,91201,20401,12008,14981,34403,48111
Ghana,0,0,161,1913,5996,9671,17760,8797,2328
Greece,0,4,1310,1277,326,492,1068,5840,8158
Grenada,0,0,9,11,3,0,1,0,0
Guatemala,0,0,38,561,4488,13009,31693,24285,17672
Guinea,0,0,22,1473,2211,1685,1917,2101,1243
Guinea-Bissau,0,0,8,197,1051,398,327,224,119
Guyana,0,0,12,70,71,92,168,893,1588
Haiti,0,0,15,66,2043,3851,1449,800,542
Holy See,0,0,6,5,1,0,0,0,0
Honduras,0,0,141,630,4431,14356,22456,19000,15886
Hungary,0,0,492,2283,1101,279,350,1634,20322
Iceland,0,1,1134,662,9,18,61,222,621
India,1,2,1395,33466,155746,394872,1110507,1995178,2621418
Indonesia,0,0,1528,8590,16355,29912,51991,66420,112212
Iran,0,593,44012,50035,56826,76196,76542,71008,82007
Iraq,0,13,681,1391,4354,42670,75500,110325,128047
Ireland,0,1,3234,17377,4378,483,592,2746,7344
Israel,0,7,5351,10588,1125,8173,45726,45626,128898
Italy,2,1126,104666,99671,27534,7581,6959,21677,45647
Jamaica,0,0,36,386,164,116,176,1581,4023
Japan,15,230,2025,12029,2467,1864,17619,32162,15195
Jordan,0,0,274,179,286,393,61,841,9791
Kazakhstan,0,0,343,3059,7456,11450,68059,15505,2107
Kenya,0,0,59,337,1566,4404,14270,13565,4328
"Korea, South",11,3139,6647,988,729,1347,1486,5846,3707
Kosovo,0,0,106,693,271,1729,5531,5124,2166
Kuwait,0,45,244,3735,23019,19152,20762,18152,20073
Kyrgyzstan,0,0,107,639,1002,3758,30299,8093,2771
Laos,0,0,9,10,0,0,1,2,1
Latvia,0,0,398,460,208,52,113,165,428
Lebanon,0,4,466,255,495,558,2777,12753,22326
Lesotho,0,0,0,0,2,25,577,481,510
Liberia,0,0,3,138,147,492,406,118,39
Libya,0,0,10,51,95,668,2797,10345,20559
Liechtenstein,0,0,68,14,0,0,6,19,11
Lithuania,0,1,536,848,290,142,258,831,1787
Luxembourg,0,1,2177,1606,234,281,2396,-70,1884
MS Zaandam,0,0,2,7,0,0,0,0,0
Madagascar,0,0,57,71,643,1443,8654,3995,1545
Malawi,0,0,0,37,247,940,2854,1488,207
Malaysia,8,17,2749,3236,1817,820,337,364,1884
Maldives,0,0,18,450,1305,588,1432,4011,2487
Mali,0,0,28,462,775,916,354,241,342
Malta,0,0,169,296,153,52,154,1059,1175
Marshall Islands,0,0,0,0,0,0,0,0,0
Mauritania,0,0,6,2,522,3833,1947,738,454
Mauritius,0,0,143,189,3,6,3,12,25
Mexico,0,4,1211,18009,71440,135425,198548,174923,143656
Moldova,0,0,353,3544,4354,8362,8120,12187,16122
Monaco,0,1,51,43,4,4,17,34,64
Mongolia,0,0,12,26,141,41,71,13,9
Montenegro,0,0,109,213,2,224,2525,1762,5937
