ident,type,name,lon,lat
AYPY,large_airport,Port Moresby Jacksons International Airport,147.2200012,-9.443380356
BIKF,large_airport,Keflavik International Airport,-22.6056,63.985001
CYEG,large_airport,Edmonton International Airport,-113.5800018,53.30970001
CYHZ,large_airport,Halifax / Stanfield International Airport,-63.50859833,44.88079834
CYOW,large_airport,Ottawa Macdonald-Cartier International Airport,-75.66919708,45.32249832
CYUL,large_airport,Montreal / Pierre Elliott Trudeau International Airport,-73.74079895,45.47060013
CYVR,large_airport,Vancouver International Airport,-123.1839981,49.19390106
CYWG,large_airport,Winnipeg / James Armstrong Richardson International Airport,-97.23989868,49.90999985
CYYC,large_airport,Calgary International Airport,-114.0199966,51.11389923
CYYJ,large_airport,Victoria International Airport,-123.4260025,48.64690018
DRRN,large_airport,Diori Hamani International Airport,2.18361,13.4815
EBBR,large_airport,Brussels Airport,4.48443985,50.90140152
EDDF,large_airport,Frankfurt am Main Airport,8.570556,50.033333
EDDH,large_airport,Hamburg Airport,9.988229752,53.63040161
EDDK,large_airport,Cologne Bonn Airport,7.142739773,50.86589813
EDDM,large_airport,Munich Airport,11.7861,48.353802
EDDN,large_airport,Nuremberg Airport,11.078056,49.498699
EDDS,large_airport,Stuttgart Airport,9.221960068,48.68989944
EDDT,large_airport,Berlin-Tegel Airport,13.2877,52.5597
EDDV,large_airport,Hannover Airport,9.685079575,52.46110153
EDLW,large_airport,Dortmund Airport,7.612239838,51.5182991
EGBB,large_airport,Birmingham International Airport,-1.748029947,52.45389938
EGCC,large_airport,Manchester Airport,-2.274950027,53.35369873
EGGD,large_airport,Bristol Airport,-2.71909,51.382702
EGGP,large_airport,Liverpool John Lennon Airport,-2.849720001,53.33359909
EGLL,large_airport,London Heathrow Airport,-0.461941,51.4706
EGNT,large_airport,Newcastle Airport,-1.691669941,55.03749847
EGPF,large_airport,Glasgow International Airport,-4.43306,55.871899
EGPH,large_airport,Edinburgh Airport,-3.372499943,55.95000076
EGSH,large_airport,Norwich International Airport,1.282780051,52.67580032
EHAM,large_airport,Amsterdam Airport Schiphol,4.76389,52.308601
EIDW,large_airport,Dublin Airport,-6.27007,53.421299
EINN,large_airport,Shannon Airport,-8.92482,52.702
ESSA,large_airport,Stockholm-Arlanda Airport,17.91860008,59.65190125
FACT,large_airport,Cape Town International Airport,18.60169983,-33.96480179
FAGG,large_airport,George Airport,22.378902,-34.0056
FIMP,large_airport,Sir Seewoosagur Ramgoolam International Airport,57.683601,-20.430201
FLLS,large_airport,Kenneth Kaunda International Airport,28.4526,-15.3308
FMMI,large_airport,Ivato Airport,47.478802,-18.7969
FNLU,large_airport,Quatro de Fevereiro Airport,13.2312,-8.85837
FSIA,large_airport,Seychelles International Airport,55.521801,-4.67434
GFLL,large_airport,Lungi International Airport,-13.1955,8.61644
HECA,large_airport,Cairo International Airport,31.40559959,30.12190056
KAUS,large_airport,Austin Bergstrom International Airport,-97.66989899,30.19449997
KAVL,large_airport,Asheville Regional Airport,-82.541801,35.436199
KBDL,large_airport,Bradley International Airport,-72.68319702,41.93889999
KBFI,large_airport,Boeing Field King County International Airport,-122.302002,47.52999878
KBGR,large_airport,Bangor International Airport,-68.82810211,44.80739975
KBHM,large_airport,Birmingham-Shuttlesworth International Airport,-86.75350189,33.56290054
KBNA,large_airport,Nashville International Airport,-86.67819977,36.12450027
KCAE,large_airport,Columbia Metropolitan Airport,-81.11949921,33.93880081
KCHA,large_airport,Lovell Field,-85.20379639,35.03530121
